NumPolys = 505

QuadrangleId = 0
8588 471.5 -176.5 -1.2
8579 471.5 -86.5 -1.2
8561 400 -86.5 -1.2
8570 400 -176.5 -1.2

QuadrangleId = 160
n_id   x   y   z
3998 400 -176.5 31.8
4012 400 -86.5 31.8
3910 328.5 -86.5 31.8
3896 328.5 -176.5 31.8

QuadrangleId = 161
n_id   x   y   z
8177 400 -176.5 24
8191 400 -86.5 24
8071 328.5 -86.5 24
8024 328.5 -176.5 24

QuadrangleId = 162
n_id   x   y   z
8570 400 -176.5 -1.2
8561 400 -86.5 -1.2
8543 328.5 -86.5 -1.2
8552 328.5 -176.5 -1.2

QuadrangleId = 169
n_id   x   y   z
4193 543 -176.5 31.8
4088 471.5 -176.5 31.8
4086 471.5 -199.833 31.8
4191 543 -199.833 31.8

QuadrangleId = 170
n_id   x   y   z
4191 543 -199.833 31.8
4086 471.5 -199.833 31.8
240 471.5 -234 31.8
306 543 -234 31.8

QuadrangleId = 171
n_id   x   y   z
306 543 -234 31.8
240 471.5 -234 31.8
239 471.5 -256.5 31.8
4182 543 -256.5 31.8

QuadrangleId = 172
n_id   x   y   z
8408 543 -176.5 24
8267 471.5 -176.5 24
8265 471.5 -199.833 24
8406 543 -199.833 24

QuadrangleId = 173
n_id   x   y   z
8406 543 -199.833 24
8265 471.5 -199.833 24
7768 471.5 -234 24
7814 543 -234 24

QuadrangleId = 174
n_id   x   y   z
7814 543 -234 24
7768 471.5 -234 24
7767 471.5 -256.5 24
8397 543 -256.5 24

QuadrangleId = 185
n_id   x   y   z
22341 328.5 913.5 31.8
22312 307.57 913.5 31.8
22305 307.57 823.5 31.8
22327 328.5 823.5 31.8

QuadrangleId = 186
n_id   x   y   z
22312 307.57 913.5 31.8
19532 293 913.5 31.8
19552 293 823.5 31.8
22305 307.57 823.5 31.8

QuadrangleId = 187
n_id   x   y   z
41189 328.5 913.5 24
41106 307.57 913.5 24
41099 307.57 823.5 24
41142 328.5 823.5 24

QuadrangleId = 188
n_id   x   y   z
41106 307.57 913.5 24
40800 293 913.5 24
40820 293 823.5 24
41099 307.57 823.5 24

QuadrangleId = 197
n_id   x   y   z
18712 328.5 663.5 31.8
18683 307.57 663.5 31.8
18676 307.57 573.5 31.8
18698 328.5 573.5 31.8

QuadrangleId = 198
n_id   x   y   z
18683 307.57 663.5 31.8
15903 293 663.5 31.8
15923 293 573.5 31.8
18676 307.57 573.5 31.8

QuadrangleId = 199
n_id   x   y   z
37709 328.5 663.5 24
37626 307.57 663.5 24
37619 307.57 573.5 24
37662 328.5 573.5 24

QuadrangleId = 200
n_id   x   y   z
37626 307.57 663.5 24
37320 293 663.5 24
37340 293 573.5 24
37619 307.57 573.5 24

QuadrangleId = 209
n_id   x   y   z
15083 328.5 413.5 31.8
15054 307.57 413.5 31.8
15047 307.57 323.5 31.8
15069 328.5 323.5 31.8

QuadrangleId = 210
n_id   x   y   z
